Var1,i_dc,i_a
0,-0.173188947691964,-58.4958944574977
5e-06,-0.0451228330695673,-58.3497958503866
1e-05,-0.0237606976797019,-58.2067756334592
1.5e-05,-0.0201973755066146,-58.0668216716524
2e-05,-166.540737142835,-55.5226999456064
2.5e-05,-197.300342448556,-52.9827897748872
3e-05,-205.44035906654,-50.4469954206827
3.5e-05,-34.2503448424181,-50.3216694757548
4e-05,-5.72940734429977,-50.1994319880379
4.5e-05,-0.9719574176207,-50.0802703726559
5e-05,-0.178388489327943,-49.9641719890953
5.5e-05,-0.0460168083572512,-49.8511241423972
6e-05,-0.0239364807425204,-49.7411140843501
6.5e-05,-0.0202533601256505,-49.6341290146834
7e-05,-171.965555986124,-47.1259339885359
7.5e-05,-203.586796998779,-44.6224747317971
8e-05,-211.828326556552,-42.1236484140263
8.5e-05,-35.3147985669021,-42.0319564824583
9e-05,-5.9069374426418,-41.9433071688502
9.5e-05,-1.00154375569895,-41.857687201731
0.0001,-0.183296990904064,-41.7750832598922
0.000105,-0.0468089105215729,-41.6954819739218
0.00011,-0.0240419447244816,-41.6188699274128
0.000115,-0.0202442890368442,-41.5452336581724
0.00012,-177.151312395117,-39.0761330502035
0.000125,-209.594491730586,-36.6122763838693
0.00013,-217.93107428099,-34.1535536223368
0.000135,-36.3317771398927,-34.0958296622711
0.00014,-6.07660174951494,-34.0410939793135
0.000145,-1.02987136234978,-33.9893326209452
0.00015,-0.188048855229965,-33.9405315917673
0.000155,-0.0476282107605073,-33.8946768547252
0.00016,-0.0242052715742034,-33.8517543323324
0.000165,-182.653882538769,-31.4209041818676
0.00017,-215.974597708871,-28.9957471203281
0.000175,-224.419019560256,-26.5761654646193
0.00018,-18.9050630552304,-22.2086871764503
0.000185,11.693943165133,-17.8402553119953
0.00019,1.93140748354496,-17.8172193251316
0.000195,0.305935477640146,-17.7971385892424
0.0002,0.0347977678319334,-17.7799987166712
0.000205,-0.0104294999721992,-17.7657852813468
0.00021,-0.017973658104108,-17.7544838203279
0.000215,11.1389437211186,-13.3893979110003
